iter	MultiClass
0	1.06719073
1	1.040368154
2	1.017224397
3	0.9964150553
4	0.9777064201
5	0.9603234179
6	0.9439297709
7	0.9292622553
8	0.9156166215
9	0.9028746374
10	0.8920850481
11	0.8810640977
12	0.8713026968
13	0.8625686361
14	0.8542342814
15	0.846124988
16	0.8389181297
17	0.8317743209
18	0.8258572397
19	0.8197987581
20	0.8142274038
21	0.8092316025
22	0.8063869431
23	0.8017046262
24	0.7975358927
25	0.7931169021
26	0.789020066
27	0.7871047436
28	0.7836682183
29	0.781896948
30	0.7799065335
31	0.7766199428
32	0.7734675708
33	0.7718093498
34	0.7689058877
35	0.7659060444
36	0.7648916341
37	0.7621253472
38	0.7599019963
39	0.7577441869
40	0.7565682341
41	0.7555514949
42	0.7536503553
43	0.7527154587
44	0.7506795069
45	0.7493939151
46	0.7485382351
47	0.7464006027
48	0.7456456777
49	0.7450052098
50	0.7442894745
51	0.742648137
52	0.7419165136
53	0.7404082549
54	0.7397315594
55	0.7388426128
56	0.7383122586
57	0.7366715991
58	0.7363025081
59	0.735726184
60	0.7352567596
61	0.734410311
62	0.7339901512
63	0.7334318035
64	0.7320216684
65	0.7313270307
66	0.7309899886
67	0.7305720191
68	0.729920801
69	0.7294119924
70	0.7281991191
71	0.7271356714
72	0.7265742937
73	0.726185771
74	0.7257088316
75	0.7251578431
76	0.7241270012
77	0.7236028194
78	0.7232075463
79	0.7227933184
80	0.7223422014
81	0.7218249192
82	0.7212783746
83	0.7210732957
84	0.7208102992
85	0.7204936671
86	0.7193102102
87	0.7191486351
88	0.7188055939
89	0.7186362504
90	0.7181398839
91	0.7178021885
92	0.7174402608
93	0.717228551
94	0.7169544208
95	0.7166029718
96	0.7161496321
97	0.7155174646
98	0.7150921153
99	0.7148681417
100	0.7145260124
101	0.7133952032
102	0.7131519249
103	0.712997877
104	0.7128009829
105	0.7124461264
106	0.7122983034
107	0.7119271323
108	0.7111939597
109	0.7109852554
110	0.7107628639
111	0.7105051678
112	0.7103317529
113	0.7101584292
114	0.7100766625
115	0.7097533038
116	0.709044839
117	0.7088468751
118	0.7085978978
119	0.7083752828
120	0.7081392126
121	0.7079851513
122	0.7078192911
123	0.7077185037
124	0.7075694729
125	0.7073676216
126	0.7071702551
127	0.7063756509
128	0.7059558071
129	0.7058605072
130	0.70577704
131	0.7056247093
132	0.7054704526
133	0.7053436213
134	0.7051370086
135	0.7049995776
136	0.7048268079
137	0.703842317
138	0.703713631
139	0.703613746
140	0.7034776058
141	0.7030766875
142	0.7029141766
143	0.702705418
144	0.7025203937
145	0.701843377
146	0.7017215278
147	0.701590008
148	0.7014620677
149	0.7011161319
150	0.7009606772
151	0.7008275244
152	0.7007126594
153	0.7006019687
154	0.7002812816
155	0.7001187059
156	0.69986463
157	0.6997046923
158	0.6991012548
159	0.6989714578
160	0.6988102485
161	0.698652967
162	0.698510003
163	0.6984327861
164	0.6982158696
165	0.6979287826
166	0.6976997756
167	0.6975191934
168	0.6973655757
169	0.6972289849
170	0.6970728852
171	0.6969445204
172	0.6968409854
173	0.6966866371
174	0.6965644111
175	0.6964896863
176	0.6962970573
